date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
2014-03-20,7.0,,1.0262409111821424,,,1.556178397984111,-1.2242567989184847,0.03802449560258813,,-1.3694558332943685,,-0.09733945508830022,,1.055424570756709,
2014-03-21,7.0,,-0.4702002020293344,,,1.6694631392754002,,,,,,,,,
2014-03-22,7.5,-0.6362584117686826,0.17306537212280695,,,-0.013976261590492367,-0.4294189590816262,,,,-0.14829734582487777,-1.254257666206046,,-0.033702562702048286,
2014-03-23,7.6,0.27564015687935467,0.07652838422883128,,,0.045480636789097195,1.5795372318237921,0.18118917982192764,,,-0.2943351291938471,,,-0.6644888994207012,
2014-03-24,6.8,0.04541537539210996,2.805599608817724,,,-0.8425626862284791,1.9728063760688086,1.1421589942623027,,0.4077348228343359,-0.20098601864838356,-0.14670275322161525,,2.3979703580166176,
2014-03-25,6.0,0.14726378695539777,-0.10118728353760312,,,0.11798463741713647,-0.4929322710250861,1.3105191595594199,,-1.00836660450238,0.03474497971850344,0.012734518298421456,,-0.6157017444729528,
2014-03-26,6.8,-0.23879824846582123,-0.07788716489314537,,,1.4977028809854365,-0.8192031174990116,2.358302319300678,,,-0.715638655938518,-0.20477137780543742,,,
2014-03-27,7.0,0.1912244036673651,-0.009418117791642932,,,0.28127994716315485,0.032636020123371835,-0.9573227675464335,,-0.6116755182577479,,-0.9898455028828569,,,
2014-03-28,6.25,-0.2999217968387571,-0.572820944067196,,,1.7053312756095123,-0.509722425099379,,,,-0.8291850910663253,,,,
2014-03-29,7.4,1.8744233616518873,0.358638335919495,,,0.5902213697162675,-1.3623866818960002,,,0.6184237258958879,-0.07004606764041253,,,,
2014-03-30,7.5,4.539062036272775,0.8784652097162867,,,-0.8499835817213199,1.6220431139135219,,,,,-0.2693876649481405,,-0.1979043198156754,
2014-03-31,7.0,-0.4917757814114611,-1.3217145687629888,,,,-1.2917436436259133,,,,,,,,
2014-04-01,6.25,-0.683629765984165,-0.4859895519381839,,,0.4564757524643908,,,,2.5852168012546106,,,,,
2014-04-02,6.5,0.3466971882025789,1.0949599166611081,,,-0.21942227313429247,0.24936516211957838,-0.13854624528384518,,,0.22260798007511312,0.7174874118732144,,,
2014-04-03,6.666666666666667,-0.5734913674331684,-0.8760868350631548,,,-0.07132226416962331,,,,,-0.4789695803106784,,,,
2014-04-04,7.0,-0.5344100002053952,-0.11433127454482396,,,-0.4946708206528651,-0.2963377027988509,,-1.0000000000000002,0.8411320105634891,-0.22384730893382182,0.5584553110628906,,,
2014-04-05,7.0,-0.22649768653367902,-0.8568398663775705,,,-0.8986175099661011,-0.7987926237499052,-0.8167282247703692,,-0.900801506780554,-0.9948362696115154,,,,
2014-04-06,7.0,0.3563037591748453,1.1836286417775268,,,-0.960361212129521,-0.13158711578093957,-0.8067396548192824,,-0.6080037638149622,,1.507513156353669,,,
2014-04-07,6.8,-0.30309293707962826,-0.5970618428107123,,,-1.0414483828611805,1.4460633090082884,1.0227731777268094,,0.7719894558265132,,2.3994730985526447,,,
2014-04-08,7.25,-0.6319519250218205,2.615866548931504,,,-0.4470617166512898,,,,0.7763964193786059,,-1.2279994875189042,,,
2014-04-09,7.75,0.09883822838147097,0.24735643039037,,,-0.4732706835572368,-0.172504565057595,-0.20268413945601899,,,0.6388537069211478,0.18636254253374515,,,
