date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.utilities,appCat.weather
2014-04-03,7.4,-0.36628338053230547,-0.27141421614695177,,,-0.18374571504673995,-1.4112250887870994,,1.352351481311582,,0.7712460859499046,-0.3445610935196822,,,
2014-04-04,7.0,-0.06636392898529694,-1.8371121502921306,,,-0.03469798346642972,-1.2889745293035497,,0.786075115377782,,0.3535732041461792,-0.0705051353027923,-0.7569395544286164,,
2014-04-05,7.4,-0.9566754665483641,0.8450019545661556,,,0.0038156240741735715,-0.3519840769328398,,-0.31574292956060446,,0.10131160775206706,-0.048062135341222806,,1.414213560758149,
2014-04-06,7.0,-0.6655232049514032,0.35254253361956184,,,-0.1248637957960614,-0.358315900841643,,-0.04952639480627073,,-0.31319318664397705,0.3596310498016966,-0.6160370342893835,,-1.4105982628682723
2014-04-07,7.6,0.030007197752446178,1.8791080519714,,,-0.1819541802611196,3.1202744396328,,0.36370761539919255,,-0.12012968691032053,0.29037853475780945,-0.6064997398927887,,
2014-04-08,7.6,-0.5684724510857486,0.5620991205760701,,,0.0774082821566379,0.6733918917893468,,1.0692904417642795,,0.3955331367894243,1.3024060775619883,-0.9935965103096621,,
2014-04-09,7.0,-0.4552465715758203,1.3854179561482332,,,-0.24303984934759285,0.004641648687058005,,0.8749610734208677,,3.1808697446782888,1.7542325962731258,-1.219169662825804,,
2014-04-10,7.4,0.054269886218859864,0.14797770033523425,,,-0.13756389717154183,0.12509449672747258,,-0.4837446887365041,,-0.011756630314645886,-0.8365238426939293,-1.141556628302375,-0.7070482498948117,
2014-04-11,5.8,-0.33393312924375396,-1.1488116774205444,,,-0.2706626091389311,-1.4423320328158509,,-0.40228833338038295,,-0.8167292523304728,-0.7167226988673409,,,
2014-04-12,7.0,-0.7631317217703081,0.40689275396233665,,,0.4633257739980016,-0.24366551460483815,,-0.6574674850039317,,-0.447950800751432,0.5156482312957589,,,
2014-04-13,8.75,1.2488029150486106,-1.5694777002868894,,,-0.20959998580047448,-0.5580100702701792,,-1.2992497922892698,,0.024180702076889642,-1.1221053454017174,,,
2014-04-14,7.6,-0.2773201894887898,-1.930304673893924,,,-0.21174409551599122,-1.2864846377555745,,-0.7558690110775845,,-0.3190990752867927,-2.254081025200172,,,1.3602907515035867
2014-04-15,7.2,-0.4230968383737688,0.6260107084902193,,,-0.19876912349728246,0.1741888130412509,,0.03730907658854507,,0.3956610977100187,1.2917482561452263,-0.880122270670996,,
2014-04-16,7.8,-0.2368823753781005,1.1679641935673533,,,-0.23810196753919935,0.3522816161540098,,1.4200775815735018,,0.8272339102838008,1.8754132958627598,0.5508219389642309,,
