date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.utilities
2014-04-02,7.25,0.17200917676649322,-0.30212398592789796,0.0,0.0,0.8528607130086637,-0.906611907663157,-0.5413241794242372,0.0,-0.2469398940976324,0.07546762462729857,1.1950691011075258,0.0,-0.045956529626670004
2014-04-03,8.0,0.3372251302973366,-0.9110852309675237,0.0,0.0,-0.9448165467397781,-1.0389670740720032,0.0,0.0,-0.04407363121389235,0.19993807074328762,0.7847539181351084,0.08028928420024178,0.0
2014-04-04,8.2,-1.2913656897578232,0.04848418245669268,0.0,0.0,-1.2072405246638205,-0.43017687296462537,-0.42157370142112066,0.0,-0.3005687815600156,-0.32791973566000526,0.19737313240652793,2.9374397243355665,0.0
2014-04-05,7.75,-0.09267191498332694,-0.7337441280073778,0.0,0.0,-0.8551139646454975,-0.7148932703747173,0.0,0.0,-0.2686609605049618,-0.1874532646061561,-0.10539713819425378,1.0738290803638775,0.0
2014-04-06,7.2,-0.6215820012801264,1.5977887904159516,0.0,0.0,0.6255381928088446,0.11467261250345481,0.0,0.0,-0.29358264032299114,0.5202000824296096,0.6595483354059792,0.0,-0.004816910837325423
2014-04-07,7.8,0.4035283921168457,-0.12210730379676973,0.0,0.0,-0.12034653348388995,-0.09363060088951805,-0.3659231444917784,0.0,-0.2668457004106176,0.0426217924287927,-0.20432017248081327,0.0,0.0
2014-04-08,7.6,-0.06393335543122765,0.02492660544058626,0.0,0.0,0.8278305455240208,-0.13535611158259034,-0.29508133146668347,0.0,-0.24185794805885374,-0.30438398657099364,-0.04193417380458466,0.06004982725716748,0.0
2014-04-09,8.6,-0.7541855824146735,-0.03470851344375874,0.0,0.0,0.755431811250143,0.48723006790981427,0.0,0.0,-0.23580327965255196,-0.3883168480011388,1.8628902688319886,0.0,-0.5360785867377088
2014-04-10,7.2,0.5388661326250066,0.15051405723393058,0.0,0.0,-0.05494762106221397,-0.320473786155499,-0.46447501340501196,0.0,-0.25436184656383704,2.1924267082615425,0.366269245553777,0.0,0.0
2014-04-11,8.25,-1.2711399778815875,0.36098161228752074,0.0,0.0,-1.006352802977308,0.8994639921661667,-0.462468256630566,-0.09792696255809519,-0.13489342832158702,-0.4293347540969622,-0.4185407215974091,0.0,-0.4911207522560055
2014-04-12,8.2,-0.3221722219673417,-1.1019507785345102,0.0,0.0,-0.8207303491831374,-0.20437037603588673,-0.43097878894440644,0.0,-0.2898881801442324,-0.43610680859401346,-1.1432926979209928,-0.8947899242972227,0.0
2014-04-13,8.0,-0.517510761132863,1.2316270517540353,0.0,0.0,1.9017062151013377,-0.7625796671217155,0.0,0.0,-0.27988065202609996,-0.5522159257311341,0.6418319102473363,0.030558047140116975,0.0
2014-04-14,8.25,-0.33048520103256396,0.04641105070538969,0.0,0.0,1.1302084382176798,-0.2065147990573224,-0.37207676139816775,0.0,-0.241035047313674,0.10912868123723846,0.42403330591120586,0.0,0.0
2014-04-15,7.8,0.7299605730694414,-0.4296095854733547,0.0,0.0,-0.3841830065399571,-0.10040644519915815,-0.5091300879904781,0.0,-0.26092771334145637,-0.3722741863514532,-0.5638391614247001,0.0,0.0
2014-04-16,7.6,-1.0664900122417766,0.4160559683299925,0.0,0.0,-0.4953050166097115,-0.10877596249205264,0.1553954060250461,-1.1700521257873604,-0.2726857237909505,-0.23720260972754753,-0.4468214525671652,0.09561497427248,0.0
2014-04-17,8.0,-0.4547306329589346,-0.7133644370762865,0.0,0.0,-0.6280272955967638,2.5051754509749116,-0.47448912319121794,0.0,-0.2646524800185683,-0.36764209593441516,-0.8155608213644461,-0.5063245270355462,-0.5362772222361553
2014-04-18,7.0,0.641776474943106,0.4833171605563215,0.0,0.0,-0.03942490682709973,0.2438548583079915,1.561044281079179,0.0,-0.11843036789303653,-0.2045986825204973,0.2975372100680777,1.1566153434300785,-0.49156216447477535
2014-04-19,7.5,-0.6637755500526588,0.7257005926560667,0.0,0.0,-0.1296975567563633,-0.34776260955300387,0.0,0.0,5.951864339219962,-0.13525356421837118,0.05496330747328985,-0.7501342573402757,0.0
