date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.game,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
2014-03-21,6.6,1.2177875698069178,6.4345838458584605,0.0,0.0,2.8720455828386933,6.2390726629121644,0.0,0.0,2.595097968128486,-0.22108457424393113,0.0,0.0,0.0
2014-03-22,7.0,-0.19132252408093034,0.10435619333433294,0.0,0.0,1.0522853412985111,-0.06551962023494068,0.0,0.0,3.0227272287026117,-0.18024355230778472,0.0,0.0,0.0
2014-03-23,6.0,-1.4234025376513557,-0.08784516418383606,0.0,0.0,-0.07777173153134961,-0.42454241239606527,0.0,0.0,0.05223041699714118,-0.13801813394402654,0.0,0.0,0.0
2014-03-24,5.5,0.9379380675454517,-0.3040558531206019,0.0,0.0,-0.6132370285344911,0.15831306783116178,-0.8564600988016762,0.0,-0.3110218560723257,0.0,0.0,0.0,0.0
2014-03-25,6.0,-0.2702973977869741,0.0756912130256206,0.0,0.0,-0.35018614731038294,0.04096104990724845,0.0,0.0,-0.7683421791197576,0.0,0.0,0.0,0.0
2014-03-26,6.6,-0.3971979160944189,0.12890301381021982,0.0,0.0,-0.31872250827245463,-0.037347598971546166,0.0,0.0,-0.4323326816883447,-0.19067271630651345,0.0,-0.6514308103776134,0.0
2014-03-27,6.6,-0.3374158571976935,-0.1638411010486981,0.0,0.0,-0.47494628030596026,-0.4067400109963526,0.38176549289650347,0.0,-0.49272226773230776,-0.19166733526575122,0.0,1.4179805201310576,0.0
2014-03-28,7.4,0.7867019422767398,-0.0977131664229797,0.0,0.0,-0.31921162107088974,-0.31550142938908243,0.09632900263643907,0.0,-0.3221292449778743,-0.2161429559313725,0.0,-0.6457287184987883,0.0
2014-03-29,7.0,1.423662698357107,-0.22562678193768057,0.0,0.0,-0.5099049839392472,-0.18263756206550416,-0.7313129084346858,0.0,0.509673973460398,0.0,0.0,0.0,0.0
2014-03-30,7.2,-0.6862844491648206,-0.5099977910679384,0.0,0.0,2.088088504793405,-0.43598531624399917,0.0,0.0,-0.4093152112956173,0.0,0.0,0.0,0.0
2014-03-31,6.4,0.7676961312945718,0.8164797508663114,0.0,0.0,-0.41752278873933696,0.36035126663968087,0.0,0.0,-0.5844794119337509,0.0,1.3997393933841225,0.0,0.0
2014-04-01,7.6,0.21827009710260403,-0.10044222687981591,0.0,0.0,-0.34656458554637065,0.08308619907586967,0.0,0.0,-0.4356164240677418,0.0,0.0,-0.346884798411423,0.0
2014-04-02,6.6,-0.5457286767966205,-0.23032433005937453,0.0,0.0,-0.31218166029130023,-0.36466999068688627,0.0,0.0,-0.6931243740863804,-0.21721432568191962,0.0,0.0,0.0
2014-04-03,7.0,-0.6541959400585747,0.176761176844136,0.0,0.0,0.24585109949600045,-0.12395365628677323,0.0,0.0,-0.6561900907523978,0.0,0.0,0.0,0.0
2014-04-04,8.0,0.596414323099317,-0.21389353522247376,0.0,0.0,-0.29923012331054066,-0.49009775200488925,0.0,0.0,2.3902158989568054,-0.16952582859346368,0.0,0.0,0.0
2014-04-05,7.25,0.9329684586338873,-0.22434087708992043,0.0,0.0,-0.4173957943418072,-0.43384873434672805,0.0,-0.9999999999999998,0.06335604891590846,-0.15693113940619363,0.0,0.0,0.0
2014-04-06,6.6,-0.14149477616143613,-0.2038575043759347,0.0,0.0,-0.40348498983042863,-0.3932238622440887,0.0,0.0,-0.4403074846097381,0.0,0.0,0.0,0.0
2014-04-07,6.8,1.8777082416251902,-0.40357101668626694,0.0,0.0,-0.32825909037923806,-0.2951410986587283,0.0,0.0,0.007094596148901826,-0.13283140357621162,0.0,0.0,0.0
