date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-03-20,9.0,,,,,,,,,,,,,,,
2014-03-21,7.8,,-0.6689125663731637,,,-0.256131904843145,1.2811533735147975,-0.19008597755888088,,-0.2162055111366954,0.10023717810739782,,,,,
2014-03-22,8.2,2.352626358747879,-0.5317681040261405,,,-0.2708740550321973,-0.76599401385269,0.2511660241651084,,,-0.30368986487378713,,-0.3614329466774852,,-1.2363177552830185,
2014-03-23,7.8,-0.16510859745682777,-0.27357646872289704,,,-0.2697791564085225,0.3789243983074373,-0.418756405675909,0.04498317133483938,-0.10532990144470811,-0.2892951532823776,,0.17443845381019882,,,1.0000000000000002
2014-03-24,7.8,-1.3474789615702945,0.0008234490779041275,,,-0.2689243671321449,0.6520979008946812,-0.17516575736693044,-0.6551146087371962,-0.16152408594865603,0.13015386735932688,,,-0.24950356979708957,-1.0169758078036262,
2014-03-25,8.25,0.2731545457801196,-0.8698981168108662,,,-0.13285923067729202,-0.556271457116032,-0.5685915881097313,3.7473659236147263,-0.20608735069750403,-0.10318769250287857,,,-0.15445649215817114,0.23275237895872952,
2014-03-26,7.75,-0.7644982288107227,-0.7357181100494283,,,-0.29879020176022525,-0.6670516131497927,-0.3314343953643198,-0.19514318017629764,-0.23395449228002663,-0.3795584245432417,,-1.2758659690826648,-0.2684802195093607,,
2014-03-27,8.0,-0.23528944331038287,-0.52819320525137,,,-0.2378467011253769,-0.6478416933704133,-0.44935274494525873,,-0.22832032852222048,-0.385942541265024,,,,-0.009844652010843818,
2014-03-28,8.6,-0.7366062254367111,-0.8509084948113972,,,-0.22111523645252903,-0.7566764889903697,-0.08402662860164051,,-0.19670529718722213,-0.25754191317198366,,,-0.1949039254595316,-0.4842483552105475,
2014-03-29,8.4,1.1238236262046266,-0.2599247275786314,,,-0.28290019267999317,-1.1003767675408347,-0.021145698464176972,0.471841645313978,,-0.37854983395368164,,,,,
