date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.weather
2014-03-24,7.0,-1.457412666978646,-0.506931816995548,0.0,0.0,-1.007713282688364,-0.3624204395216827,1.2255475925036747,0.0,0.0,0.8213562515265108,-1.1962439311038262,0.0,0.0,0.0
2014-03-25,8.0,-0.04292680777160323,-0.5607171683326456,0.0,0.0,-0.3729714903995139,0.09908610696590357,1.1456149769805337,0.0,-0.33130520223332166,0.20423849242106784,-0.972221180083709,0.0,0.0,0.0
2014-03-26,7.0,-0.007622928819830208,-0.8258205024993294,0.0,0.0,-0.7732051505330838,-0.6003911712434603,-0.3454911613173726,0.0,-0.19256621413976943,-0.263054183614591,0.5562869426199805,-0.2127161182352511,0.0,0.0
2014-03-27,7.6,-0.06841030654632631,-0.17094542850150385,0.0,0.0,0.4371928931754716,0.009547753995412868,0.5960203331231231,0.0,0.0,-0.3244716008345872,-1.0879136360643995,0.0,0.0,0.0
2014-03-28,7.8,0.24194355012545127,-0.3637142458866989,0.0,0.0,-1.0622091449762154,-0.5173241073013766,0.18651008315446377,0.0,-0.35271650174487235,1.751704234621637,0.38143020818164425,-0.2566030588749957,0.0,0.0
2014-03-29,7.8,-0.8857697822551872,-1.1375930579803204,0.0,0.0,-1.0092970158400743,-0.1973052728653602,-0.6119792101952463,0.0,0.0,0.0791302315726521,-1.2767905073509547,0.0,0.0,0.0
2014-03-30,7.0,0.7534781943409289,1.6561644511177795,0.0,0.0,-0.1423375626170951,-1.2150481091787537,1.7931593730172954,1.2717564754364594,0.0,-0.48163819907179944,0.6679438115920701,0.0,0.0,-1.1225882386726689
2014-03-31,7.75,0.3625102900286576,-0.2639042190743991,0.0,0.0,2.5452536312989205,-0.9485878334604622,0.6693079717995501,0.0,-0.2824276783569111,-0.41301655650842567,-0.4070511886485766,0.0,0.0,0.0
2014-04-01,6.8,1.1727215350619535,1.9710704891044644,0.0,0.0,0.13477428249659273,0.8333109761352311,-0.6953684950750462,1.4904693916854557,0.0,-0.30893225430904603,-0.2161300329250806,0.0,0.0,0.0
2014-04-02,7.2,-0.37131679716912386,-0.19216175009565317,0.0,0.0,-0.12795987426447267,0.020940069388669092,-0.7014593758181876,0.0,0.027134250231833867,-0.28194433262542407,-0.3284884731953061,-0.4881040944945828,0.0,0.0
2014-04-03,7.0,0.08191700560373065,-0.37563321639257863,0.0,0.0,-0.48625454803837675,0.019547918293205974,-0.31012853240022753,-1.1348047416287932,0.0,-0.46415352554785266,-0.760930019035725,-0.23238252755615343,0.0,0.0
