date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-03-21,7.8,0.0,-0.6689125663731637,0.0,0.0,-0.2561319048431451,1.2811533735147969,-0.19008597755888085,0.0,-0.2162055111366955,0.10023717810739792,0.0,0.0,0.0,0.0,0.0
2014-03-22,8.2,2.3526263587478784,-0.5317681040261405,0.0,0.0,-0.27087405503219736,-0.7659940138526906,0.2511660241651084,0.0,0.0,-0.3036898648737869,0.0,-0.3614329466774852,0.0,-1.2363177552830176,0.0
2014-03-23,7.8,-0.16510859745682774,-0.27357646872289704,0.0,0.0,-0.26977915640852257,0.3789243983074367,-0.41875640567590894,0.04498317133483891,-0.10532990144470822,-0.2892951532823774,0.0,0.17443845381019882,0.0,0.0,1.0000000000000002
2014-03-24,7.8,-1.3474789615702942,0.0008234490779041275,0.0,0.0,-0.2689243671321449,0.6520979008946806,-0.1751657573669304,-0.6551146087371967,-0.16152408594865614,0.13015386735932696,0.0,0.0,-0.24950356979708951,-1.0169758078036253,0.0
2014-03-25,8.25,0.27315454578011955,-0.8698981168108662,0.0,0.0,-0.13285923067729208,-0.5562714571160327,-0.5685915881097313,3.747365923614726,-0.20608735069750414,-0.10318769250287842,0.0,0.0,-0.15445649215817106,0.23275237895872997,0.0
2014-03-26,7.75,-0.7644982288107226,-0.7357181100494283,0.0,0.0,-0.29879020176022525,-0.6670516131497933,-0.33143439536431973,-0.1951431801762981,-0.2339544922800267,-0.37955842454324146,0.0,-1.2758659690826648,-0.26848021950936063,0.0,0.0
2014-03-27,8.0,-0.23528944331038282,-0.52819320525137,0.0,0.0,-0.23784670112537695,-0.647841693370414,-0.4493527449452587,0.0,-0.22832032852222056,-0.38594254126502375,0.0,0.0,0.0,-0.009844652010843318,0.0
2014-03-28,8.6,-0.736606225436711,-0.8509084948113972,0.0,0.0,-0.22111523645252906,-0.7566764889903703,-0.0840266286016405,0.0,-0.19670529718722224,-0.2575419131719835,0.0,0.0,-0.19490392545953153,-0.4842483552105469,0.0
2014-03-29,8.4,1.1238236262046264,-0.2599247275786314,0.0,0.0,-0.2829001926799932,-1.1003767675408354,-0.02114569846417697,0.4718416453139775,0.0,-0.37854983395368147,0.0,0.0,0.0,0.0,0.0
2014-03-30,7.4,0.9742585770360115,-0.6011429077517582,0.0,0.0,-0.30843890142840663,-0.607332352533976,-0.2550116195528406,0.0,-0.1570859304586621,-0.29294887838368944,0.0,0.0,-0.18606108716899403,0.0,-1.0
2014-03-31,7.6,-0.5005197100526093,1.061469494647482,0.0,0.0,-0.1651912668983448,1.730376626307593,-0.4385607638203099,-0.30070644800384433,0.0,-0.4358148294751827,0.0,0.0,0.0,-1.010278343758453,0.0
2014-04-01,7.4,-0.4596066566033521,-0.5432605679153981,0.0,0.0,-0.12513597590940456,-0.8294854963547621,-0.19976470015812578,0.7760607622346062,-0.19590249711704694,-0.3403384433511838,0.0,0.0,0.0,0.0,0.0
2014-04-02,7.8,-1.1854765246543633,-0.707069739900517,0.0,0.0,-0.1908701183984089,-0.7706004803876978,-0.16581808234317436,-0.4325456712015222,-0.23576124754000174,-0.3879909666077167,0.0,-0.20635182348531214,0.0,0.0,0.0
2014-04-03,7.8,-0.34125809795712475,-0.8594402539430149,0.0,0.0,5.228881817847231,-0.8804908888925733,-0.07606209683451694,-0.8526150049635135,0.0,-0.3837084762013089,0.0,0.0,-0.22557666067717647,1.623638922506488,0.0
2014-04-04,7.6,-0.5925613956058056,-0.3209960233756643,0.0,0.0,-0.23960105137178914,0.07422635807171642,-0.33934957595248566,0.4033513220115662,-0.23034280216839914,0.3988998759896516,0.0,0.0,0.5485275265013257,0.0,0.0
