date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.game,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities
2014-03-19,6.8,,-0.5796801243293023,,,0.12782632137345304,-0.642357165345218,-0.4468245480601093,,-0.32617647429767516,0.6771155606663513,-0.673376258177613,-0.5946675049791927,
2014-03-20,5.25,,-0.2771155385066279,,,0.17504095075406592,0.04632403183073983,-0.3479664268686553,,-0.3707460027146761,-0.9010222907574003,,,
2014-03-21,7.0,,0.7622758916297698,,,0.1335201495538512,-0.7818701720907864,-0.6624630623074218,,-0.3909906715647173,-0.4075257748287154,-0.34177704919031515,,-0.23073840176324617
2014-03-22,6.0,,-0.4514403399501232,,,0.1338756601217949,-0.3447573683491545,-0.0714965678821358,,0.6206228281667718,-0.002395242919982486,2.915957949333275,0.3377065204825294,
2014-03-23,7.75,,-0.9508312587858408,,,0.18379153949982288,-1.1196426197836558,-0.7450835385784816,,-0.10477436608098288,-1.1176496376831249,,,
2014-03-24,8.0,,-0.9872793641711521,,,0.17249971846207238,-1.4138416061693437,-0.7543002924121777,,1.0030195972012597,-0.17386935981849103,-0.29855237955023484,,
2014-03-25,7.666666666666667,0.8813260212418685,-0.662372234195962,,,0.1198047850956449,-0.6240028356972994,-0.5460093501387878,,1.2199995668994734,1.1856282688794952,-0.2048967762547874,,
2014-03-26,6.6,0.7272611712943036,-0.655057811716911,,,0.21623541855399467,-0.8009640687493969,0.30785666602738126,,-0.23152004671719392,-0.5621400969832738,0.26523446403283224,,
2014-03-27,6.8,0.6155936264571418,-0.5271221228087196,,,0.17325407067780188,-0.5621898990704386,-0.22933773666654053,,-0.3780457389044239,0.5612900879117525,-0.7160895155327375,,
2014-03-28,8.25,0.42877868538042385,0.30423370539128264,,,0.17390345814681926,-0.40324348959074313,-0.6471538803022902,,0.3922776407133791,0.7264397665100133,-0.3582774135694038,-0.42969764730574117,-0.36742096987304845
2014-03-29,7.0,-0.7955533752417132,0.4595429225264578,,,0.21828172807624407,-0.5679941685184159,-0.11089997671378962,,-0.1567670196840396,-0.5898544928322585,0.27444892527818526,,
2014-03-30,6.2,-0.2003906406264516,-0.08782894441092595,,,0.1846747606776159,-0.13290991308009947,-0.42556500889523,,-0.34196578912683,-0.04047645109143995,-0.706778195900082,,
2014-03-31,4.333333333333333,-0.41773102437818554,0.39040118548697555,,,0.14712679113992666,1.406083075690051,0.29739965332956037,,-0.37827824742127647,1.583964635674506,-0.15558509507491314,,
2014-04-01,6.6,0.3067395073498027,-0.35823104182395366,,,0.11627893878025843,-0.35260816401785744,0.21414420848788665,,-0.3944841749839976,-0.17996546708133512,,,
2014-04-02,5.5,1.3633498298936626,-0.09944415058466473,,,0.18852008464919642,-0.37233726639578785,0.32819507940661524,,-0.1397429755108769,-0.20048836875357268,2.012359596964844,,
2014-04-03,6.2,0.526083048829437,-0.281044798641082,,,0.10591453012875171,-0.18859555444913292,1.0384083416345746,,-0.42811313245397525,-0.48431934522804365,0.09199785732125665,,
2014-04-04,6.5,-0.689302948084447,-0.45292001859098413,,,0.09722166902602047,-0.415425860735309,-0.6326149595075297,,-0.14853362543303672,0.7981460407208945,-0.3895346913561404,0.7295855156535389,2.441545769277568
2014-04-05,6.0,3.2216400440599804,-0.4663717971998216,,,0.14500136240692557,-1.0948548934337843,-0.8497390364031713,,0.08715707777940664,-0.23311634387255878,-0.40766658145912005,,
2014-04-06,6.75,-0.275748375428184,-0.1658246807884208,,,0.11110965977957248,-0.46157653537101895,0.04018200371735642,,-0.11807855377814613,-0.050723874936052134,,,-0.4737939854500273
2014-04-07,5.4,0.08587056840282985,0.7948350001817706,,,0.19146078953849982,-0.2322578120751406,0.7821606011488628,,-0.020671394957974043,2.8626957801691932,,,
2014-04-08,6.8,-0.12339405971937652,-0.3315098432232062,,,0.09418805526011749,0.22405048780372638,-0.8528495596680412,,-0.1532791920786485,-0.4755065559501748,,-0.4931452853829933,
2014-04-09,6.4,-0.7726150071456404,0.4618132711600437,,,0.11045804728829836,-0.9017269474410115,-0.11373672536689729,,-0.25624205337431155,-1.2113340359393168,,,-0.4332847215022305
2014-04-10,6.2,-0.009222185910301243,-0.3545342378988547,,,0.0968767020857009,-1.0136741213366398,1.9851118557634202,,-0.4422718099350951,2.1099095022816146,-0.7639375588600448,,
2014-04-11,3.5,-0.20903070655690778,-0.6450231360588788,,,0.07975921466254114,-0.9706945910552619,,,-0.35597449721561164,-1.2170159034477612,-0.7205307954518362,,
2014-04-12,6.4,2.236982134362303,0.8092787579202099,,,0.11866467732195402,0.2997988738245167,0.4084456902912173,,0.16302172495390313,0.24163531967896512,-0.2780571447970806,-0.11883575830293379,
2014-04-13,6.5,-1.4031492955381883,-0.5049522843771359,,,0.10506179483152972,-1.0261618027093078,-0.3606405586597373,,-0.43867925956639736,0.1672505813464024,,,
2014-04-14,6.2,-1.1418902298625295,-0.5323886633490388,,,0.13732539067204372,-0.7729502497954891,0.5278655813769922,,-0.32426268578350903,-0.6472248819755574,,,
2014-04-15,6.0,-1.4026599271885407,0.21795340514929784,,,0.10274270316004507,1.0030128793348252,-0.5102751342274009,,-0.2762514957121165,1.5637525545161948,,,
2014-04-16,4.75,0.32092807676506213,-0.6689543079689649,,,0.14385077739741675,0.024029089835762022,,,0.09910202796168409,0.16836686499078393,-0.6209100069437349,-0.6625055837206688,
2014-04-17,3.8,0.9705622243922393,-0.14237176895580833,,,0.19743777354795758,-0.03375948173539003,1.620402103615679,,-0.36995018965458754,0.05742237603233477,,,
2014-04-18,5.2,-0.5744381890241902,1.5212248296346553,,,0.3355632883173175,2.091263615458722,2.235324463640437,,-0.28062257189085327,0.7474355851728162,,,
2014-04-19,7.0,-1.6481491918779065,-0.7527857457395255,,,0.150185899202061,-1.2213961643807338,-0.6360785243650103,,-0.18279902017497687,-0.8968388539807717,,,
2014-04-20,3.0,0.20623426825950522,2.7229569098891138,,,0.049995721601117045,0.7924859701996985,-1.046400490833925,,-0.4118492876072728,1.6198487324851418,,-0.5972176910573432,
2014-04-21,6.6,-0.6582791549166346,0.3616731363359108,,,0.12320690353067301,0.7266316306314644,0.2697162327657834,,-0.30816335959855073,-0.33145183273046847,2.1136390315452807,-0.4821795071285032,
