date,mood,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.weather
2014-03-24,7.0,-1.457412666978646,-0.5069318169955475,,,-1.0077132826883641,-0.362420439521683,1.2255475925036747,,,0.8213562515265107,-1.1962439311038258,,,
2014-03-25,7.0,-0.04292680777160323,-0.5607171683326451,,,-0.3729714903995142,0.09908610696590316,1.1456149769805337,,-0.3313052022333216,0.20423849242106773,-0.9722211800837084,,,
2014-03-26,8.0,-0.007622928819830208,-0.8258205024993288,,,-0.7732051505330841,-0.6003911712434606,-0.3454911613173726,,-0.19256621413976935,-0.2630541836145911,0.5562869426199809,-0.21271611823525102,,
2014-03-27,7.0,-0.06841030654632631,-0.17094542850150332,,,0.43719289317547133,0.009547753995412469,0.5960203331231231,,,-0.3244716008345873,-1.087913636064399,,,
2014-03-28,7.6,0.24194355012545127,-0.3637142458866983,,,-1.0622091449762159,-0.5173241073013768,0.18651008315446377,,-0.35271650174487235,1.7517042346216367,0.3814302081816447,-0.25660305887499557,,
2014-03-29,7.8,-0.8857697822551872,-1.13759305798032,,,-1.0092970158400745,-0.19730527286536056,-0.6119792101952463,,,0.07913023157265198,-1.2767905073509542,,,
2014-03-30,7.8,0.7534781943409289,1.6561644511177798,,,-0.14233756261709543,-1.215048109178754,1.7931593730172954,1.2717564754364592,,-0.48163819907179956,0.6679438115920705,,,-1.1225882386726689
2014-03-31,7.0,0.3625102900286576,-0.26390421907439854,,,2.5452536312989205,-0.9485878334604623,0.6693079717995501,,-0.282427678356911,-0.4130165565084258,-0.4070511886485761,,,
2014-04-01,7.75,1.1727215350619535,1.9710704891044646,,,0.1347742824965924,0.8333109761352305,-0.6953684950750462,1.4904693916854554,,-0.30893225430904614,-0.21613003292508012,,,
2014-04-02,6.8,-0.37131679716912386,-0.19216175009565264,,,-0.12795987426447297,0.02094006938866869,-0.7014593758181876,,0.027134250231833943,-0.28194433262542423,-0.3284884731953056,-0.4881040944945827,,
2014-04-03,7.2,0.08191700560373065,-0.3756332163925781,,,-0.4862545480383771,0.019547918293205572,-0.31012853240022753,-1.1348047416287934,,-0.46415352554785283,-0.7609300190357245,-0.23238252755615332,,
2014-04-04,7.0,0.061023716554162215,1.0050417980759734,,,-0.03897280852819995,0.7964602358705558,-0.13213848707569686,-0.3276540847407397,,-0.5187622982734295,0.7812054857963444,0.24247902895804513,,
2014-04-05,7.0,1.9577247870767251,-0.7767455262755755,,,-0.49411483599942213,-0.7505610495576994,-0.7452057279906525,,,0.03762449273226874,2.2278352275995656,-0.25808077554864567,,
2014-04-06,7.0,-1.7996252321708455,3.1076164783736457,,,1.6109810094681751,-0.1231769752663246,0.05332976456580331,,,-0.03025718094893637,1.9658757396356115,,,
2014-04-07,6.2,0.7915976406051989,0.6614979658396997,,,-0.4947400433791699,-0.1404186966501093,-0.8317794421356589,,,-0.494678405410394,-0.4941897090898438,-0.289719013119088,,
2014-04-08,6.6,-0.006542497723779783,0.05504117302127589,,,0.8443357345300447,0.2772674320613286,-0.09090902437350122,0.7867634678580231,0.048461224419965775,-0.24617451609493332,-0.731019100368828,-0.7225368337046669,,
2014-04-09,7.4,-1.1328195659620484,0.5614536538766209,,,3.237695285381353,0.12185379792894588,0.7912623706486516,,4.626351045362702,-0.2529319677736053,1.1642198220734672,0.8280690238422452,,-1.2119842478040566
2014-04-10,7.6,1.3319771222517915,-0.2761061607524834,,,0.34137416385175157,-0.5309162990856106,-1.0679227613020728,-1.1345109659720949,,-0.5269278848060395,0.06673373555404567,-0.25332364570753996,,1.5616097095797763
2014-04-11,7.8,0.1910531845153666,-0.8393668410013593,,,-1.0346081223151131,-0.37796523713378744,4.261323120758561,,0.4062609043226617,-0.2410785039818852,-0.21578866116038029,-0.4485228601469437,,
2014-04-12,8.2,0.11405522474669773,-0.08313668064175611,,,-0.7241230157835026,-0.894584790047294,1.1222424915954816,-0.02505801796066565,,0.16760770580755027,-0.21901240432851732,-0.3156772098111057,,0.45166444558673136
2014-04-13,7.0,2.4059206131667645,0.6912441100601214,,,1.0620583458234885,0.3831622682056033,-1.0159576149313916,,,-0.4541127528228288,0.25338468565603794,-0.337608898223754,,
